file_name,cwe,line
basschat.co.uk.js,CWE-134,227
beam-monsters.com.js,CWE-134,227
bellazon.com.js,CWE-134,227
berforum.ru.js,CWE-134,227
beta-pb.com.js,CWE-134,227
betterbidding.com.js,CWE-134,227
bigmacktrucks.com.js,CWE-134,227
blacksidersociety.pro.js,CWE-134,227
bmwklubpolska.pl.js,CWE-134,227
bmwsporttouring.com.js,CWE-134,227
bn.org.uk.js,CWE-134,227
bolterandchainsword.com.js,CWE-134,227
braciasamcy.pl.js,CWE-134,227
brickpicker.com.js,CWE-134,227
bzpower.com.js,CWE-134,227
caliboard.de.js,CWE-134,227
camcaps.net.js,CWE-134,227
canadiansoccernews.com.js,CWE-134,227
canalworld.net.js,CWE-134,227
canucksfanforum.com.js,CWE-134,227
carmasters.org.js,CWE-134,227
cascadeclimbers.com.js,CWE-134,227
catholicharbor.com.js,CWE-134,227
ccfcforum.com.js,CWE-134,227
celiac.com.js,CWE-134,227
chemodan.com.ua.js,CWE-134,227
chinese-forums.com.js,CWE-134,227
clubedascalopsitas.com.br.js,CWE-134,227
clubimport.fr.js,CWE-134,227
clubpeugeot.es.js,CWE-134,227
clubplanet.com.js,CWE-134,227
clutch-solution.com.js,CWE-134,227
codefling.com.js,CWE-134,227
comancheclub.com.js,CWE-134,227
comeonyouspurs.com.js,CWE-134,227
companyofmen.org.js,CWE-134,227
computeraudiophile.com.js,CWE-134,227
concursuri.biz.js,CWE-134,290
concursuri.biz.js,CWE-134,322
concursuri.biz.js,CWE-134,332
consumeractiongroup.co.uk.js,CWE-134,227
cornwallfootballforum.com.js,CWE-134,227
cosmocheats.com.js,CWE-134,227
cptdb.ca.js,CWE-134,227
cshacked.pl.js,CWE-134,227
curvage.org.js,CWE-134,227
dayzrp.com.js,CWE-134,227
ddcforum.com.js,CWE-134,227
ddlgforum.com.js,CWE-134,227
demonland.com.js,CWE-134,227
detectorprospector.com.js,CWE-134,227
dinet.org.js,CWE-134,227
doctorsim.com.js,CWE-134,54
doctorsim.com.js,CWE-134,125
doctorsim.com.js,CWE-134,137
doctorsim.com.js,CWE-134,178
dogomania.com.js,CWE-134,227
dojrp.com.js,CWE-134,227
doniaweb.com.js,CWE-134,227
dosbods.co.uk.js,CWE-134,227
dragonslair.it.js,CWE-134,227
dropmms.com.js,CWE-134,227
ducks-services.com.js,CWE-134,227
e-nba.pl.js,CWE-134,227
eaglesmessageboard.com.js,CWE-134,227
easternspirit.org.js,CWE-134,227
ecchidreams.com.js,CWE-134,227
edmc.nu.js,CWE-134,227
egullet.org.js,CWE-134,227
egwwritings.org.js,CWE-134,228
egwwritings.org.js,CWE-134,231
electricunicycle.org.js,CWE-134,227
electronix.ru.js,CWE-134,227
eletronicabr.com.js,CWE-134,227
elforum.info.js,CWE-134,227
emumovies.com.js,CWE-134,227
enotalone.com.js,CWE-134,227
et3.it.js,CWE-134,227
eurasica.ru.js,CWE-134,227
exactservers.com.js,CWE-134,227
eyfs.info.js,CWE-134,227
fearless-assassins.com.js,CWE-134,227
fillaritori.com.js,CWE-134,227
flat4ever.com.js,CWE-134,227
flightsim.com.js,CWE-134,227
fordedgeforum.com.js,CWE-134,227
foromedios.com.js,CWE-134,227
forum-auto.com.js,CWE-134,227
forumkinopoisk.ru.js,CWE-134,227
forumrowerowe.org.js,CWE-134,227
forumtfc.net.js,CWE-134,227
freejinger.org.js,CWE-134,227
fromrus.su.js,CWE-134,227
fuji-x-forum.de.js,CWE-134,227
fun-fairs.co.uk.js,CWE-134,227
funghiitaliani.it.js,CWE-134,227
germanscooterforum.de.js,CWE-134,227
