file_name,cwe,line
thehighroad.org.js,CWE-20,6
thehelper.net.js,CWE-20,6
theguineapigforum.co.uk.js,CWE-20,6
thegearforum.com.js,CWE-20,37
thefootballforum.net.js,CWE-20,37
theflag.org.js,CWE-20,113
thefastlaneforum.com.js,CWE-20,37
thedraftnetwork.com.js,CWE-20,1261
thechicagogarage.com.js,CWE-20,37
thebuildingcodeforum.com.js,CWE-20,37
thebreakroom.org.js,CWE-20,37
thebourbonculture.com.js,CWE-20,701
thebodyshop-usa.com.js,CWE-20,1261
theautokhabar.in.js,CWE-20,99
the-independent.com.js,CWE-20,744
thanhlau2.cc.js,CWE-20,37
thanhlau17.com.js,CWE-20,37
thailand-asienforum.com.js,CWE-20,37
tf2maps.net.js,CWE-20,37
texasguntalk.com.js,CWE-20,37
texanstalk.com.js,CWE-20,37
tetatet-club.ru.js,CWE-20,182
teng999.net.js,CWE-20,1930
temperatur.nu.js,CWE-20,10
teluguvidhya.com.js,CWE-20,99
teluguneeds.in.js,CWE-20,99
telugujobspoint.com.js,CWE-20,99
telugubreak.com.js,CWE-20,99
telugubindu.com.js,CWE-20,99
telepharm.io.js,CWE-20,352
telepharm.io.js,CWE-20,351
telen.no.js,CWE-20,2745
telen.no.js,CWE-20,485
tek-tips.com.js,CWE-20,37
teenpatti.com.js,CWE-20,16
technukti.com.js,CWE-20,99
techkings.org.js,CWE-20,6
techenclave.com.js,CWE-20,37
teamos.xyz.js,CWE-20,37
tcportal.online.js,CWE-20,12
tbeeb.net.js,CWE-20,37
tazahindisamachar.com.js,CWE-20,99
taxer.ua.js,CWE-20,1258
tawseel.app.js,CWE-20,414
tawan168.com.js,CWE-20,1930
tavsiyeforumu.com.js,CWE-20,37
tamilyogi.org.in.js,CWE-20,99
tamilnovelwriters.com.js,CWE-20,37
tamilneeds24.in.js,CWE-20,99
tamilbrahmins.com.js,CWE-20,37
tamil.wiki.js,CWE-20,117
taladhuay.online.js,CWE-20,1930
taki.sale.js,CWE-20,11
takhfif.co.js,CWE-20,29
tahoeyukonforum.com.js,CWE-20,37
tactirshop.fr.js,CWE-20,90
tablodash.com.js,CWE-20,1261
tabbytales.net.js,CWE-20,37
t6forum.com.js,CWE-20,37
t-a.no.js,CWE-20,2745
t-a.no.js,CWE-20,485
sysnative.com.js,CWE-20,37
syscom.be.js,CWE-20,1258
synology-forum.de.js,CWE-20,37
synoforum.com.js,CWE-20,37
sylaps.com.js,CWE-20,1246
syhost.ch.js,CWE-20,9
switchscene.org.js,CWE-20,37
swingthat.fun.js,CWE-20,37
swinglife.me.js,CWE-20,44
swing.family.js,CWE-20,44
sweetheartslive.com.js,CWE-20,58
surfaceforums.net.js,CWE-20,37
supervuoro.com.js,CWE-20,37
superstock.com.js,CWE-20,1258
superhuman.ai.js,CWE-20,113
